idx	file.name	coef
1	1349.abomination.wav	1.287283
2	1349.godslayer.wav	0.824856
3	behexen.cathedral.void.wav	0.669751
4	behexen.night.blasphemy.wav	0.48219
5	burzum.det.som.wav	2.150984
6 	burzum.haugaeldr.wav	15.360895
7 	carpathian.bloodlust.wav	0.704911
8 	carpathian.morbid.fascination.wav	0.708322
9	dark.funeral.vobiscum.wav	0.84228
10 	darkthrone.over.fjell.wav	1.559604
11	darkthrone.shadow.wav	NA
12	deathspell.omega.abscission.wav	0.802802
13 	dimmu.kings.carnival.wav	0.888607
14 	dimmu.progenies.wav	0.561069
15 	emperor.inno.wav	0.786808
16 	emperor.nightspirit.wav	1.405091
17 	enslaved.havenless.wav	0.723164
18 	gorgoroth.katharinas.wav	0.71802
19 	graveland.jewel.atlanteans.wav	1.336979
20 	immortal.blashyrkh.wav	0.835161
21 	immortal.solarfall.wav	0.894955
22 	judas.iscariot.eagles.vultures.wav	NA
23 	judas.iscariot.hateful.visions.wav	1.047686
24 	marduk.dracul.wav	3.297209
25 	mayhem.chainsaw.wav	NA
26 	mayhem.deathcrush.wav	3.675945
27 	satanic.warmaster.eternity.awaits.wav	1.416076
28 	satyricon.havoc.vulture.wav	1.135501
29 	taake.hordaland.4.wav	1.311263
30 	watain.malfeitor.wav	0.728879
